file_path,header1,header2,header3,header4
/Users/brentbrewington/Downloads/Data/Financial Statements_page_127.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_128.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_129.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_130.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_131.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_132.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 28 February 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_133.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_134.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_135.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_136.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_137.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_138.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_139.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_140.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_141.pdf,ARMY RECREATION MACHINE PROO,Statement of Financial Condition,Unaudited,As of 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_142.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_143.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_144.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_145.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_146.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_147.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_148.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_149.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_150.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Five Months Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_151.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Five Months Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_152.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Five Months Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_153.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Five Months Ending 29 February 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_154.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 29 February 2024,February February February YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_155.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_156.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_157.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_158.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_159.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_160.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_161.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_162.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_163.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_164.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Six Months Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_165.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Six Months Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_166.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Six Months Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_167.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Six Months Ending 31 March 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_168.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 March 2020,March March March YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_169.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_170.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_171.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_172.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_173.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_174.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 March 2021
/Users/brentbrewington/Downloads/Data/Financial Statements_page_175.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_176.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_177.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_178.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_179.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_180.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_181.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_182.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_183.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_184.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_185.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_186.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_187.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_188.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_189.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_190.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_191.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 March 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_192.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Six Months Ending 31 March 2022
